Name,Size,Description,Price,Available Quantity,Image,OrderCount
Brocoli,500g,"Suspendisse ac magna metus. Quisque id ante in nibh congue malesuada porta at nisi. Aenean semper risus purus, id imperdiet sem facilisis vel. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Duis ultricies faucibus sagittis. Quisque et ornare est. In hac habitasse platea dictumst. Vivamus eu ornare arcu, id imperdiet leo. Etiam at ipsum vitae nisl dapibus lacinia eget non lorem.",50,100,https://firebasestorage.googleapis.com/v0/b/farmfresh-9c7fd.appspot.com/o/all_items%2FBajra.jpg?alt=media&token=43b4a0d7-c2cb-48c6-9bee-fdc6375a3ccc,0
Lettuce,500g,"Suspendisse ac magna metus. Quisque id ante in nibh congue malesuada porta at nisi. Aenean semper risus purus, id imperdiet sem facilisis vel. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Duis ultricies faucibus sagittis. Quisque et ornare est. In hac habitasse platea dictumst. Vivamus eu ornare arcu, id imperdiet leo. Etiam at ipsum vitae nisl dapibus lacinia eget non lorem.",125,100,https://firebasestorage.googleapis.com/v0/b/farmfresh-9c7fd.appspot.com/o/all_items%2FBarley.jpg?alt=media&token=af9d56d2-f11c-4904-860b-bf9a5a9b16d6,0
Thyme,250g,"Suspendisse ac magna metus. Quisque id ante in nibh congue malesuada porta at nisi. Aenean semper risus purus, id imperdiet sem facilisis vel. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Duis ultricies faucibus sagittis. Quisque et ornare est. In hac habitasse platea dictumst. Vivamus eu ornare arcu, id imperdiet leo. Etiam at ipsum vitae nisl dapibus lacinia eget non lorem.",75,50,https://firebasestorage.googleapis.com/v0/b/farmfresh-9c7fd.appspot.com/o/all_items%2FWheat.jpg?alt=media&token=1ae15e5c-bfe1-4ea4-b67e-fe057855fbc2,0
Zucchini,500g,"Suspendisse ac magna metus. Quisque id ante in nibh congue malesuada porta at nisi. Aenean semper risus purus, id imperdiet sem facilisis vel. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Duis ultricies faucibus sagittis. Quisque et ornare est. In hac habitasse platea dictumst. Vivamus eu ornare arcu, id imperdiet leo. Etiam at ipsum vitae nisl dapibus lacinia eget non lorem.",50,200,https://firebasestorage.googleapis.com/v0/b/farmfresh-9c7fd.appspot.com/o/all_items%2FJowar.jpg?alt=media&token=18fb0949-ef1c-4706-929a-61c2866938b2,0
Asparagus,500g,"Suspendisse ac magna metus. Quisque id ante in nibh congue malesuada porta at nisi. Aenean semper risus purus, id imperdiet sem facilisis vel. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Duis ultricies faucibus sagittis. Quisque et ornare est. In hac habitasse platea dictumst. Vivamus eu ornare arcu, id imperdiet leo. Etiam at ipsum vitae nisl dapibus lacinia eget non lorem.",450,100,https://firebasestorage.googleapis.com/v0/b/farmfresh-9c7fd.appspot.com/o/all_items%2FMaize.jpg?alt=media&token=5cd69fa8-3bdc-4a39-9b48-4450cf84f818,0
Jalepeno,250g,"Suspendisse ac magna metus. Quisque id ante in nibh congue malesuada porta at nisi. Aenean semper risus purus, id imperdiet sem facilisis vel. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Duis ultricies faucibus sagittis. Quisque et ornare est. In hac habitasse platea dictumst. Vivamus eu ornare arcu, id imperdiet leo. Etiam at ipsum vitae nisl dapibus lacinia eget non lorem.",25,100,https://firebasestorage.googleapis.com/v0/b/farmfresh-9c7fd.appspot.com/o/all_items%2FRagi.jpg?alt=media&token=7685c670-e222-4287-bfc4-12e8f00f3ce1,0
Pak Choi,1kg,"Suspendisse ac magna metus. Quisque id ante in nibh congue malesuada porta at nisi. Aenean semper risus purus, id imperdiet sem facilisis vel. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Duis ultricies faucibus sagittis. Quisque et ornare est. In hac habitasse platea dictumst. Vivamus eu ornare arcu, id imperdiet leo. Etiam at ipsum vitae nisl dapibus lacinia eget non lorem.",70,200,https://firebasestorage.googleapis.com/v0/b/farmfresh-9c7fd.appspot.com/o/all_items%2FRice.jpg?alt=media&token=a54899e6-7803-47b5-94bb-6046707e2816,0
Basil,100g,"Suspendisse ac magna metus. Quisque id ante in nibh congue malesuada porta at nisi. Aenean semper risus purus, id imperdiet sem facilisis vel. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Duis ultricies faucibus sagittis. Quisque et ornare est. In hac habitasse platea dictumst. Vivamus eu ornare arcu, id imperdiet leo. Etiam at ipsum vitae nisl dapibus lacinia eget non lorem.",60,50,https://firebasestorage.googleapis.com/v0/b/farmfresh-9c7fd.appspot.com/o/all_items%2FQuinoa.jpg?alt=media&token=5b83b277-63c0-4876-9f1d-1ecdd6221157,0
Kale,500g,"Suspendisse ac magna metus. Quisque id ante in nibh congue malesuada porta at nisi. Aenean semper risus purus, id imperdiet sem facilisis vel. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Duis ultricies faucibus sagittis. Quisque et ornare est. In hac habitasse platea dictumst. Vivamus eu ornare arcu, id imperdiet leo. Etiam at ipsum vitae nisl dapibus lacinia eget non lorem.",100,100,https://firebasestorage.googleapis.com/v0/b/farmfresh-9c7fd.appspot.com/o/all_items%2FBajra.jpg?alt=media&token=43b4a0d7-c2cb-48c6-9bee-fdc6375a3ccc,0
Avocado,1kg,"Suspendisse ac magna metus. Quisque id ante in nibh congue malesuada porta at nisi. Aenean semper risus purus, id imperdiet sem facilisis vel. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Duis ultricies faucibus sagittis. Quisque et ornare est. In hac habitasse platea dictumst. Vivamus eu ornare arcu, id imperdiet leo. Etiam at ipsum vitae nisl dapibus lacinia eget non lorem.",180,300,https://firebasestorage.googleapis.com/v0/b/farmfresh-9c7fd.appspot.com/o/all_items%2FBarley.jpg?alt=media&token=af9d56d2-f11c-4904-860b-bf9a5a9b16d6,0
